Engine_ID,Final_Cycle,Actual_RUL,Predicted_RUL,Alert,Cycle
1,31.0,112.0,118.62058,SAFE,
2,49.0,98.0,120.88618,SAFE,
3,126.0,69.0,43.549072,WARNING,
4,106.0,82.0,112.28283,SAFE,
5,98.0,91.0,116.68803,SAFE,
6,105.0,93.0,119.0047,SAFE,
7,160.0,91.0,115.05535,SAFE,
8,166.0,95.0,116.42205,SAFE,
9,55.0,111.0,120.379005,SAFE,
10,192.0,96.0,90.98148,SAFE,
11,83.0,97.0,76.500854,SAFE,
12,217.0,124.0,112.68457,SAFE,
13,195.0,95.0,74.815735,SAFE,
14,46.0,107.0,113.50984,SAFE,
15,76.0,83.0,102.1036,SAFE,
16,113.0,84.0,108.78745,SAFE,
17,165.0,50.0,53.029606,SAFE,
18,133.0,28.0,32.303116,WARNING,
19,135.0,87.0,79.69575,SAFE,
20,184.0,16.0,16.707253,CRITICAL,
21,148.0,57.0,68.46514,SAFE,
22,39.0,111.0,120.51232,SAFE,
23,130.0,113.0,120.48711,SAFE,
24,186.0,20.0,20.929674,WARNING,
25,48.0,125.0,111.33587,SAFE,
26,76.0,119.0,117.28834,SAFE,
27,140.0,66.0,115.806625,SAFE,
28,158.0,97.0,85.41094,SAFE,
29,171.0,90.0,111.90939,SAFE,
30,143.0,115.0,114.852905,SAFE,
31,196.0,8.0,7.697263,CRITICAL,
32,145.0,48.0,48.152348,WARNING,
33,50.0,106.0,119.79888,SAFE,
34,203.0,7.0,3.8319016,CRITICAL,
35,198.0,11.0,8.610358,CRITICAL,
36,126.0,19.0,21.531763,WARNING,
37,121.0,21.0,28.420761,WARNING,
38,125.0,50.0,52.93345,SAFE,
39,37.0,125.0,121.14338,SAFE,
40,133.0,28.0,37.25879,WARNING,
41,123.0,18.0,25.192625,WARNING,
42,156.0,10.0,10.303455,CRITICAL,
43,172.0,59.0,56.005623,SAFE,
44,54.0,109.0,119.79358,SAFE,
45,152.0,114.0,102.58548,SAFE,
46,146.0,47.0,47.54667,WARNING,
47,73.0,125.0,108.19741,SAFE,
48,78.0,92.0,101.85171,SAFE,
49,303.0,21.0,17.878582,CRITICAL,
50,74.0,79.0,107.47297,SAFE,
51,144.0,114.0,115.39698,SAFE,
52,189.0,29.0,36.656258,WARNING,
53,164.0,26.0,32.667152,WARNING,
54,121.0,97.0,120.58857,SAFE,
55,113.0,125.0,116.176735,SAFE,
56,136.0,15.0,19.151764,CRITICAL,
57,160.0,103.0,120.05183,SAFE,
58,176.0,37.0,51.689842,SAFE,
59,94.0,114.0,105.16575,SAFE,
60,147.0,100.0,119.12906,SAFE,
61,159.0,21.0,18.92524,CRITICAL,
62,232.0,54.0,50.382294,SAFE,
63,155.0,72.0,91.81658,SAFE,
64,168.0,28.0,23.788994,WARNING,
65,71.0,125.0,120.24795,SAFE,
66,147.0,14.0,17.389286,CRITICAL,
67,71.0,77.0,118.9567,SAFE,
68,187.0,8.0,6.9218335,CRITICAL,
69,54.0,121.0,120.996284,SAFE,
70,152.0,94.0,106.50086,SAFE,
71,68.0,118.0,119.61059,SAFE,
72,131.0,50.0,68.13891,SAFE,
73,112.0,125.0,115.73207,SAFE,
74,137.0,125.0,114.44207,SAFE,
75,88.0,113.0,110.95509,SAFE,
76,205.0,10.0,9.747324,CRITICAL,
77,162.0,34.0,29.949093,WARNING,
78,72.0,107.0,121.16511,SAFE,
79,101.0,63.0,119.25105,SAFE,
80,133.0,90.0,116.16071,SAFE,
81,213.0,8.0,9.26808,CRITICAL,
82,162.0,9.0,7.8579416,CRITICAL,
83,73.0,125.0,120.82856,SAFE,
84,172.0,58.0,70.226875,SAFE,
85,34.0,118.0,120.90225,SAFE,
86,110.0,89.0,117.762924,SAFE,
87,56.0,116.0,119.54554,SAFE,
88,68.0,115.0,116.3589,SAFE,
89,177.0,125.0,120.1019,SAFE,
90,146.0,28.0,29.25671,WARNING,
91,234.0,38.0,25.418884,WARNING,
92,150.0,20.0,28.18544,WARNING,
93,244.0,85.0,54.706024,SAFE,
94,133.0,55.0,81.29201,SAFE,
95,89.0,125.0,115.336,SAFE,
96,97.0,125.0,113.092,SAFE,
97,134.0,82.0,88.99383,SAFE,
98,121.0,59.0,81.88328,SAFE,
99,97.0,117.0,119.54578,SAFE,
100,198.0,20.0,19.169552,CRITICAL,
101,,18.0,15.55839,CRITICAL,258.0
102,,79.0,112.780045,SAFE,55.0
103,,106.0,85.61748,SAFE,165.0
104,,110.0,79.973305,SAFE,86.0
105,,15.0,23.752247,WARNING,148.0
106,,130.0,122.79627,SAFE,63.0
