Engine_ID,Final_Cycle,Actual_RUL,Predicted_RUL,Alert
1,31,112.0,118.62058,SAFE
2,49,98.0,120.88618,SAFE
3,126,69.0,43.549072,WARNING
4,106,82.0,112.28283,SAFE
5,98,91.0,116.68803,SAFE
6,105,93.0,119.0047,SAFE
7,160,91.0,115.05535,SAFE
8,166,95.0,116.42205,SAFE
9,55,111.0,120.379005,SAFE
10,192,96.0,90.98148,SAFE
11,83,97.0,76.500854,SAFE
12,217,124.0,112.68457,SAFE
13,195,95.0,74.815735,SAFE
14,46,107.0,113.50984,SAFE
15,76,83.0,102.1036,SAFE
16,113,84.0,108.78745,SAFE
17,165,50.0,53.029606,SAFE
18,133,28.0,32.303116,WARNING
19,135,87.0,79.69575,SAFE
20,184,16.0,16.707253,CRITICAL
21,148,57.0,68.46514,SAFE
22,39,111.0,120.51232,SAFE
23,130,113.0,120.48711,SAFE
24,186,20.0,20.929674,WARNING
25,48,125.0,111.33587,SAFE
26,76,119.0,117.28834,SAFE
27,140,66.0,115.806625,SAFE
28,158,97.0,85.41094,SAFE
29,171,90.0,111.90939,SAFE
30,143,115.0,114.852905,SAFE
31,196,8.0,7.697263,CRITICAL
32,145,48.0,48.152348,WARNING
33,50,106.0,119.79888,SAFE
34,203,7.0,3.8319016,CRITICAL
35,198,11.0,8.610358,CRITICAL
36,126,19.0,21.531763,WARNING
37,121,21.0,28.420761,WARNING
38,125,50.0,52.93345,SAFE
39,37,125.0,121.14338,SAFE
40,133,28.0,37.25879,WARNING
41,123,18.0,25.192625,WARNING
42,156,10.0,10.303455,CRITICAL
43,172,59.0,56.005623,SAFE
44,54,109.0,119.79358,SAFE
45,152,114.0,102.58548,SAFE
46,146,47.0,47.54667,WARNING
47,73,125.0,108.19741,SAFE
48,78,92.0,101.85171,SAFE
49,303,21.0,17.878582,CRITICAL
50,74,79.0,107.47297,SAFE
51,144,114.0,115.39698,SAFE
52,189,29.0,36.656258,WARNING
53,164,26.0,32.667152,WARNING
54,121,97.0,120.58857,SAFE
55,113,125.0,116.176735,SAFE
56,136,15.0,19.151764,CRITICAL
57,160,103.0,120.05183,SAFE
58,176,37.0,51.689842,SAFE
59,94,114.0,105.16575,SAFE
60,147,100.0,119.12906,SAFE
61,159,21.0,18.92524,CRITICAL
62,232,54.0,50.382294,SAFE
63,155,72.0,91.81658,SAFE
64,168,28.0,23.788994,WARNING
65,71,125.0,120.24795,SAFE
66,147,14.0,17.389286,CRITICAL
67,71,77.0,118.9567,SAFE
68,187,8.0,6.9218335,CRITICAL
69,54,121.0,120.996284,SAFE
70,152,94.0,106.50086,SAFE
71,68,118.0,119.61059,SAFE
72,131,50.0,68.13891,SAFE
73,112,125.0,115.73207,SAFE
74,137,125.0,114.44207,SAFE
75,88,113.0,110.95509,SAFE
76,205,10.0,9.747324,CRITICAL
77,162,34.0,29.949093,WARNING
78,72,107.0,121.16511,SAFE
79,101,63.0,119.25105,SAFE
80,133,90.0,116.16071,SAFE
81,213,8.0,9.26808,CRITICAL
82,162,9.0,7.8579416,CRITICAL
83,73,125.0,120.82856,SAFE
84,172,58.0,70.226875,SAFE
85,34,118.0,120.90225,SAFE
86,110,89.0,117.762924,SAFE
87,56,116.0,119.54554,SAFE
88,68,115.0,116.3589,SAFE
89,177,125.0,120.1019,SAFE
90,146,28.0,29.25671,WARNING
91,234,38.0,25.418884,WARNING
92,150,20.0,28.18544,WARNING
93,244,85.0,54.706024,SAFE
94,133,55.0,81.29201,SAFE
95,89,125.0,115.336,SAFE
96,97,125.0,113.092,SAFE
97,134,82.0,88.99383,SAFE
98,121,59.0,81.88328,SAFE
99,97,117.0,119.54578,SAFE
100,198,20.0,19.169552,CRITICAL
