Engine_ID,Cycle,Actual_RUL,Predicted_RUL,Alert
1,258,18.0,15.55839,CRITICAL
2,55,79.0,112.780045,SAFE
3,165,106.0,85.61748,SAFE
4,86,110.0,79.973305,SAFE
5,148,15.0,23.752247,WARNING
6,63,130.0,122.79627,SAFE
7,184,6.0,3.5838938,CRITICAL
8,173,90.0,71.09172,SAFE
9,161,11.0,9.455025,CRITICAL
10,84,79.0,120.47591,SAFE
11,162,6.0,6.5426507,CRITICAL
12,74,73.0,90.49259,SAFE
13,164,30.0,27.717722,WARNING
14,160,11.0,10.650857,CRITICAL
15,165,37.0,51.394913,SAFE
16,88,67.0,111.28981,SAFE
17,264,68.0,45.636086,WARNING
18,40,99.0,118.88814,SAFE
19,172,22.0,22.82794,WARNING
20,101,54.0,54.11908,SAFE
21,128,97.0,116.97316,SAFE
22,159,10.0,16.92564,CRITICAL
23,49,130.0,94.76676,SAFE
24,210,77.0,61.835236,SAFE
25,147,88.0,104.68138,SAFE
26,76,130.0,120.79695,SAFE
27,68,126.0,121.923134,SAFE
28,23,130.0,121.91569,SAFE
29,101,83.0,79.32368,SAFE
30,184,78.0,49.959343,WARNING
31,123,75.0,119.17992,SAFE
32,170,11.0,18.061274,CRITICAL
33,135,53.0,73.093956,SAFE
34,52,130.0,123.16762,SAFE
35,77,63.0,52.53007,SAFE
36,163,100.0,85.00781,SAFE
37,49,130.0,92.51593,SAFE
38,127,55.0,44.770615,WARNING
39,149,48.0,36.201103,WARNING
40,183,37.0,25.528337,WARNING
41,210,44.0,38.513702,WARNING
42,137,27.0,30.414267,WARNING
43,184,18.0,25.553587,WARNING
44,164,6.0,12.703173,CRITICAL
45,195,15.0,16.707514,CRITICAL
46,132,112.0,123.97085,SAFE
47,81,130.0,110.56562,SAFE
48,132,13.0,18.965147,CRITICAL
49,65,122.0,78.9758,SAFE
50,164,13.0,13.183533,CRITICAL
51,37,98.0,123.591484,SAFE
52,165,53.0,48.64849,WARNING
53,149,52.0,48.51476,WARNING
54,74,106.0,122.1412,SAFE
55,123,103.0,122.42268,SAFE
56,73,130.0,124.23297,SAFE
57,76,123.0,124.18087,SAFE
58,247,26.0,21.691824,WARNING
59,22,130.0,112.80608,SAFE
60,144,73.0,81.29197,SAFE
61,70,130.0,95.28801,SAFE
62,205,39.0,32.588802,WARNING
63,174,39.0,45.946526,WARNING
64,233,14.0,21.432169,WARNING
65,367,11.0,5.966908,CRITICAL
66,63,121.0,113.57282,SAFE
67,146,86.0,93.95402,SAFE
68,218,56.0,40.09906,WARNING
69,158,115.0,118.639015,SAFE
70,264,17.0,14.5458355,CRITICAL
71,65,130.0,123.878555,SAFE
72,143,104.0,64.44946,SAFE
73,151,78.0,64.3705,SAFE
74,103,86.0,118.927765,SAFE
75,192,98.0,97.099625,SAFE
76,222,36.0,37.173206,WARNING
77,67,94.0,66.46889,SAFE
78,128,52.0,54.55713,SAFE
79,113,91.0,120.044395,SAFE
80,278,15.0,9.208118,CRITICAL
81,76,130.0,107.273254,SAFE
82,96,74.0,120.186066,SAFE
83,21,130.0,86.83705,SAFE
84,204,17.0,16.741762,CRITICAL
85,183,47.0,47.067024,WARNING
86,83,130.0,87.74014,SAFE
87,131,21.0,15.136948,CRITICAL
88,166,79.0,70.79834,SAFE
89,59,97.0,100.33919,SAFE
90,163,8.0,8.201965,CRITICAL
91,278,9.0,9.636466,CRITICAL
92,123,73.0,85.457214,SAFE
93,76,130.0,126.67311,SAFE
94,117,97.0,89.49541,SAFE
95,78,73.0,66.52022,SAFE
96,140,49.0,37.40348,WARNING
97,213,31.0,16.955864,CRITICAL
98,113,97.0,63.25,SAFE
99,163,9.0,8.558812,CRITICAL
100,149,14.0,23.067505,WARNING
101,38,106.0,123.93787,SAFE
102,122,8.0,7.3967195,CRITICAL
103,186,8.0,7.5834255,CRITICAL
104,141,106.0,107.46459,SAFE
105,61,116.0,125.6713,SAFE
106,72,120.0,87.57396,SAFE
107,132,61.0,48.037342,WARNING
108,174,130.0,119.678154,SAFE
109,144,35.0,36.777096,WARNING
110,219,80.0,123.037346,SAFE
111,131,9.0,13.98975,CRITICAL
112,109,50.0,48.412945,WARNING
113,45,130.0,123.43255,SAFE
114,153,78.0,75.086975,SAFE
115,210,91.0,82.63269,SAFE
116,171,7.0,2.3687742,CRITICAL
117,55,130.0,119.11447,SAFE
118,97,130.0,98.17265,SAFE
119,202,106.0,118.41969,SAFE
120,160,15.0,19.10578,CRITICAL
121,59,67.0,96.64798,SAFE
122,29,130.0,123.49408,SAFE
123,61,130.0,82.93891,SAFE
124,149,7.0,7.025563,CRITICAL
125,79,130.0,73.73475,SAFE
126,99,124.0,119.9401,SAFE
127,126,82.0,74.31798,SAFE
128,110,108.0,110.22746,SAFE
129,218,79.0,72.125626,SAFE
130,141,121.0,120.37629,SAFE
131,73,120.0,118.7347,SAFE
132,122,39.0,66.94606,SAFE
133,186,38.0,65.29711,SAFE
134,186,9.0,5.368504,CRITICAL
135,120,130.0,122.86782,SAFE
136,77,87.0,90.55102,SAFE
137,226,88.0,79.81117,SAFE
138,200,7.0,5.2762656,CRITICAL
139,116,51.0,55.804905,SAFE
140,306,55.0,46.18924,WARNING
141,69,130.0,117.80923,SAFE
142,163,47.0,33.7516,WARNING
143,226,81.0,47.67911,WARNING
144,143,43.0,38.9482,WARNING
145,142,98.0,89.097916,SAFE
146,144,10.0,14.066097,CRITICAL
147,78,92.0,121.67778,SAFE
148,157,11.0,15.941305,CRITICAL
149,70,130.0,101.85526,SAFE
150,196,34.0,38.607094,WARNING
151,141,115.0,72.11859,SAFE
152,90,59.0,61.607704,SAFE
153,146,99.0,75.54046,SAFE
154,58,103.0,108.2587,SAFE
155,72,108.0,121.76608,SAFE
156,75,83.0,120.46696,SAFE
157,161,130.0,122.42131,SAFE
158,171,15.0,25.92018,WARNING
159,187,9.0,9.127937,CRITICAL
160,124,42.0,41.143322,WARNING
161,174,13.0,20.810942,WARNING
162,185,41.0,46.657375,WARNING
163,144,88.0,69.12993,SAFE
164,199,14.0,10.838883,CRITICAL
165,35,130.0,122.50849,SAFE
166,97,130.0,113.3206,SAFE
167,78,96.0,78.93582,SAFE
168,107,82.0,118.70587,SAFE
169,80,130.0,115.16711,SAFE
170,85,130.0,121.31032,SAFE
171,243,36.0,40.450706,WARNING
172,128,107.0,107.22059,SAFE
173,117,14.0,10.581256,CRITICAL
174,51,95.0,76.00661,SAFE
175,83,130.0,122.31807,SAFE
176,200,23.0,26.54544,WARNING
177,191,6.0,7.026429,CRITICAL
178,54,130.0,100.67447,SAFE
179,156,35.0,38.866257,WARNING
180,154,97.0,87.683044,SAFE
181,199,68.0,51.30406,SAFE
182,134,14.0,11.54014,CRITICAL
183,150,67.0,57.963974,SAFE
184,64,130.0,122.39739,SAFE
185,254,19.0,11.86575,CRITICAL
186,166,10.0,11.351892,CRITICAL
187,84,130.0,118.1055,SAFE
188,86,130.0,94.28509,SAFE
189,178,43.0,40.90625,WARNING
190,158,12.0,28.528395,WARNING
191,95,130.0,125.25697,SAFE
192,161,13.0,27.306383,WARNING
193,245,37.0,30.709959,WARNING
194,50,122.0,122.492355,SAFE
195,262,80.0,50.989594,SAFE
196,109,93.0,119.98264,SAFE
197,59,130.0,123.48161,SAFE
198,120,32.0,90.959885,SAFE
199,117,103.0,119.66061,SAFE
200,60,130.0,97.11781,SAFE
201,25,111.0,85.56702,SAFE
202,124,68.0,107.67669,SAFE
203,115,130.0,123.82411,SAFE
204,41,121.0,121.750275,SAFE
205,31,130.0,109.0603,SAFE
206,162,48.0,64.91859,SAFE
207,141,85.0,59.40873,SAFE
208,166,8.0,9.30278,CRITICAL
209,131,23.0,23.765537,WARNING
210,182,8.0,5.3701935,CRITICAL
211,155,6.0,5.7574396,CRITICAL
212,187,57.0,58.603615,SAFE
213,159,83.0,65.62849,SAFE
214,75,130.0,123.91668,SAFE
215,71,101.0,117.27961,SAFE
216,100,81.0,70.711945,SAFE
217,49,86.0,118.56766,SAFE
218,33,130.0,124.10662,SAFE
219,161,73.0,77.71016,SAFE
220,54,121.0,106.35488,SAFE
221,55,130.0,84.252815,SAFE
222,180,75.0,75.37829,SAFE
223,29,130.0,122.768974,SAFE
224,43,130.0,121.77602,SAFE
225,166,11.0,10.276041,CRITICAL
226,165,108.0,93.23643,SAFE
227,180,14.0,6.8045635,CRITICAL
228,44,126.0,84.01428,SAFE
229,109,61.0,115.91597,SAFE
230,125,85.0,121.515015,SAFE
231,187,8.0,8.084986,CRITICAL
232,159,101.0,111.956764,SAFE
233,40,130.0,120.40503,SAFE
234,147,89.0,123.408226,SAFE
235,102,130.0,113.46561,SAFE
236,274,12.0,13.307154,CRITICAL
237,235,62.0,51.6789,SAFE
238,94,130.0,122.7908,SAFE
239,106,101.0,117.671036,SAFE
240,50,121.0,88.49705,SAFE
241,44,130.0,123.971664,SAFE
242,194,17.0,17.525286,CRITICAL
243,40,130.0,122.07026,SAFE
244,49,130.0,123.067955,SAFE
245,265,16.0,8.205921,CRITICAL
246,80,130.0,118.59091,SAFE
247,87,130.0,124.71977,SAFE
248,162,56.0,50.61552,SAFE
249,36,111.0,125.499214,SAFE
250,234,23.0,13.040691,CRITICAL
251,64,84.0,124.43084,SAFE
252,249,12.0,8.256576,CRITICAL
253,139,43.0,46.38053,WARNING
254,131,48.0,57.675346,SAFE
255,150,122.0,113.469925,SAFE
256,59,130.0,83.93654,SAFE
257,199,56.0,63.272053,SAFE
258,98,130.0,107.87192,SAFE
259,123,51.0,82.23495,SAFE
